Hours_Studied,Score
6,65
1,15
4,45
4,45
8,85
4,45
6,65
3,35
5,55
8,85
7,75
9,95
9,95
2,25
7,75
8,85
8,85
9,95
2,25
6,65
9,95
5,55
4,45
1,15
4,45
6,65
1,15
3,35
4,45
9,95
2,25
4,45
4,45
4,45
8,85
1,15
2,25
1,15
5,55
8,85
4,45
3,35
8,85
3,35
1,15
1,15
5,55
6,65
6,65
7,75
9,95
5,55
2,25
5,55
9,95
2,25
2,25
8,85
4,45
7,75
8,85
3,35
1,15
4,45
6,65
5,55
5,55
7,75
5,55
5,55
4,45
5,55
5,55
9,95
5,55
4,45
8,85
6,65
6,65
1,15
2,25
6,65
4,45
1,15
6,65
1,15
2,25
3,35
5,55
3,35
1,15
4,45
3,35
1,15
8,85
6,65
1,15
3,35
8,85
3,35
3,35
4,45
4,45
3,35
4,45
5,55
2,25
3,35
2,25
5,55
7,75
9,95
3,35
4,45
1,15
1,15
7,75
1,15
7,75
4,45
4,45
9,95
9,95
9,95
3,35
4,45
3,35
1,15
9,95
9,95
4,45
9,95
3,35
9,95
5,55
4,45
1,15
5,55
4,45
7,75
9,95
1,15
9,95
6,65
1,15
7,75
6,65
4,45
2,25
9,95
1,15
5,55
7,75
6,65
8,85
9,95
9,95
3,35
9,95
7,75
7,75
2,25
7,75
9,95
9,95
4,45
3,35
4,45
7,75
4,45
7,75
6,65
8,85
1,15
9,95
5,55
7,75
6,65
9,95
3,35
4,45
8,85
6,65
4,45
5,55
6,65
4,45
4,45
8,85
8,85
4,45
3,35
4,45
8,85
8,85
6,65
2,25
3,35
3,35
9,95
