Hours_Studied,Attendance,Assignments_Completed,Previous_Score,Final_Score
6,93,6,65,68.1
1,65,10,86,61.8
4,100,5,90,69.0
4,96,9,83,74.1
8,60,8,81,76.3
4,71,10,86,72.0
6,94,8,40,64.8
3,65,9,52,55.6
5,76,8,49,60.9
8,68,9,58,73.0
7,61,8,44,62.4
9,77,5,47,66.5
9,95,10,43,78.9
2,87,8,88,65.8
7,100,8,52,72.6
8,96,6,77,78.3
8,85,8,85,82.5
9,63,10,88,86.0
2,99,10,85,71.3
6,95,9,58,72.4
9,90,5,89,81.7
5,89,8,47,62.9
4,93,5,66,60.4
1,78,5,89,55.3
4,77,8,86,69.2
6,89,6,69,68.5
1,80,7,43,45.9
3,62,8,50,52.4
4,65,7,60,57.0
9,97,8,82,87.0
2,72,5,41,42.7
4,62,8,60,58.4
4,87,7,56,60.2
4,81,5,82,62.8
8,99,8,90,86.8
1,99,6,68,55.2
2,71,9,66,58.0
1,82,8,63,54.3
5,90,6,88,71.4
8,77,7,42,66.0
4,66,10,78,68.6
3,67,6,49,49.1
8,78,9,42,70.2
3,88,6,84,63.8
1,79,10,81,63.1
1,89,8,65,56.3
5,81,6,76,66.0
6,69,8,66,67.6
6,85,7,44,62.2
7,92,9,81,81.7
9,87,10,50,79.4
5,69,6,52,56.4
2,88,9,80,65.6
5,77,6,73,64.3
9,60,9,77,80.1
2,82,6,79,58.1
2,76,7,72,56.8
8,96,10,73,85.1
4,90,10,66,69.8
7,84,7,75,74.3
8,63,8,65,72.1
3,68,6,90,61.6
1,87,7,64,53.6
4,89,7,58,61.2
6,83,9,60,70.6
5,92,7,70,68.4
5,79,7,68,65.2
7,68,8,48,65.0
5,67,5,58,55.8
5,83,10,65,71.1
4,73,9,64,63.8
5,77,7,79,68.1
5,60,5,82,61.6
9,71,5,68,71.6
5,88,7,64,65.8
4,96,8,58,64.6
8,85,10,43,73.9
6,92,10,84,81.6
6,74,10,59,70.5
1,82,6,85,56.9
2,88,10,40,55.6
6,80,8,50,65.0
4,78,7,43,54.5
1,64,9,46,47.6
6,82,6,67,66.5
1,95,6,75,56.5
2,79,7,46,49.6
3,67,7,59,54.1
5,68,9,74,68.8
3,73,10,90,70.6
1,65,8,90,59.0
4,60,9,78,65.4
3,68,10,60,60.6
1,75,7,83,56.9
8,75,9,40,69.0
6,71,10,76,75.0
1,64,7,85,55.3
3,99,6,81,65.1
8,88,9,42,72.2
3,86,5,73,58.1
3,70,6,52,50.6
4,87,5,55,55.9
4,95,7,73,66.9
3,78,5,63,53.5
4,94,8,52,62.4
5,90,10,45,66.5
2,78,7,78,59.0
3,83,5,41,47.9
2,61,7,50,47.2
5,66,8,46,58.0
7,90,5,46,62.8
9,76,5,78,75.6
3,86,6,78,61.6
4,95,5,51,56.3
1,69,10,90,63.8
1,73,5,61,45.9
7,66,7,90,75.2
1,98,8,90,65.6
7,99,9,42,71.4
4,68,10,52,61.2
4,73,8,69,63.3
9,67,8,49,71.1
9,76,5,48,66.6
9,82,9,45,74.9
3,75,9,83,66.9
4,85,8,41,57.3
3,68,7,83,61.5
1,95,9,55,56.5
9,66,9,52,73.8
9,77,10,87,88.5
4,67,8,52,57.0
9,80,10,61,81.3
3,85,10,58,63.4
9,62,6,65,70.9
5,76,9,53,64.1
4,83,10,70,69.6
1,84,10,68,60.2
5,64,8,84,69.0
4,96,6,81,67.5
7,83,8,61,71.9
9,90,10,46,78.8
1,85,8,76,58.8
9,80,7,88,83.4
6,93,5,80,70.6
1,97,6,66,54.2
7,83,10,70,78.6
6,87,10,45,68.9
4,89,10,55,66.3
2,93,5,77,57.7
9,82,6,77,78.5
1,67,10,89,63.1
5,69,6,71,62.1
7,60,10,72,74.6
6,79,9,88,78.2
8,96,7,56,74.0
9,77,7,72,78.0
9,80,8,50,74.0
3,63,5,52,47.2
9,61,10,69,79.9
7,80,10,40,69.0
7,96,8,69,76.9
2,64,7,66,52.6
7,76,8,79,75.9
9,70,7,62,73.6
9,100,7,59,78.7
4,90,6,45,55.5
3,87,8,76,65.2
4,91,6,59,59.9
7,80,8,76,75.8
4,66,10,45,58.7
7,69,7,68,69.2
6,87,10,52,71.0
8,95,7,66,76.8
1,79,9,89,63.5
9,72,6,59,71.1
5,78,10,52,66.2
7,70,5,78,68.4
6,94,8,47,66.9
9,93,10,56,82.4
3,63,5,69,52.3
4,72,9,40,56.4
8,96,7,63,76.1
6,61,6,55,58.7
4,60,5,50,49.0
5,99,6,43,59.7
6,84,7,43,61.7
4,96,6,56,60.0
4,95,6,88,69.4
8,65,10,49,71.7
8,66,8,60,71.2
4,63,5,77,57.7
3,94,9,88,72.2
4,100,6,57,61.1
8,93,6,49,69.3
8,88,10,84,86.8
6,64,9,55,65.3
2,86,5,78,56.6
3,92,7,54,57.6
3,69,8,73,60.7
9,65,9,44,71.2
